#SampleID	age	age_group	age_unit	altitude	anonymized_name	antibiotics	assigned_from_geo	bcs	bcs_grouping	body_habitat	body_product	body_site	breed	breed_grouping	country	crude_fiber_1000kcalg_me_group	depth	description	dewormed	disease_stat	dna_extracted	elevation	env_biome	env_feature	env_matter	g_fat_1000kcal_me_group	g_protein_1000kcal_me_group	gender_specific	histo	host_subject_id	host_taxid	indoor_outdoor	latitude	longitude	perc_crude_protein_min_group	percent_crude_fat_min_group	percent_crude_fiber_max_group	percent_met_cal_carb_group	percent_met_cal_fat_group	percent_met_cal_protein_group	physical_specimen_remaining	prebotic_source	protein_source	public	sample_type	scientific_name	sex	size_grouping	state	taxon_id	title	tot_mass	travel_history	weight_group	weight_kg
Sweden.HC.21	9.0	3.0	years	0	Sweden.HC.21	definite_no	False	3.0	1_4	UBERON:feces	UBERON:feces	UBERON:feces	Mixed_Breed	Mixed	GAZ:Sweden		0	IBD1_Sweden_HC 21_G6_R.K.1.20.12	True	healthy	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			F		Canis lupus familiaris	9615	indoor	60.13	18.64							False			False	stool		female			749906	Suchodolski_dog_ibd	25.0	False	3.0	25.0
Sweden.HC.23	8.0	3.0	years	0	Sweden.HC.23	definite_no	False	5.0	1_4	UBERON:feces	UBERON:feces	UBERON:feces	Mixed_Breed	Mixed	GAZ:Sweden		0	IBD1_Sweden_HC 23_G7_R.K.1.20.12	False	healthy	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			MC		Canis lupus familiaris	9615	indoor	60.13	18.64							False			False	stool		male			749906	Suchodolski_dog_ibd	34.0	True	4.0	34.0
Sweden.HC.3	1.5	1.0	years	0	Sweden.HC.3	definite_no	False	5.0	1_4	UBERON:feces	UBERON:feces	UBERON:feces	Hovawart	Working	GAZ:Sweden		0	IBD1_Sweden_HC 3_F5_R.K.1.20.12	True	healthy	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			MC		Canis lupus familiaris	9615		60.13	18.64							False			False	stool		male	large		749906	Suchodolski_dog_ibd	45.0	True	5.0	45.0
Sweden.HC.4	6.5	3.0	years	0	Sweden.HC.4	definite_no	False	5.0	1_4	UBERON:feces	UBERON:feces	UBERON:feces	Mellan_Pinscher	Toy/Companion	GAZ:Sweden		0	IBD1_Sweden_HC 4_F6_R.K.1.20.12	True	healthy	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			F		Canis lupus familiaris	9615		60.13	18.64							False			False	stool		female	small		749906	Suchodolski_dog_ibd	12.0	False	2.0	12.0
Sweden.HC.6	1.5	1.0	years	0	Sweden.HC.6	definite_no	False	5.0	1_4	UBERON:feces	UBERON:feces	UBERON:feces	Rhodesian_Ridgeback	Hound	GAZ:Sweden	1_10	0	IBD1_Sweden_HC 6_F7_R.K.1.20.12	False	healthy	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	36_50	62_85	M		Canis lupus familiaris	9615	indoor	60.13	18.64	21_25	14_20	1_5	38_45	25_35	21_26	False		chicken	False	stool		male	large		749906	Suchodolski_dog_ibd	50.0		5.0	50.0
Sweden.HC.7	3.0	2.0	years	0	Sweden.HC.7	definite_no	False	6.0	5_9	UBERON:feces	UBERON:feces	UBERON:feces	Mixed_Breed	Mixed	GAZ:Sweden		0	IBD1_Sweden_HC 7_F8_R.K.1.20.12	True	healthy	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			MC		Canis lupus familiaris	9615	indoor	60.13	18.64							False			False	stool		male			749906	Suchodolski_dog_ibd	30.0	False	3.0	30.0
Sweden.HC.9	2.0	1.0	years	0	Sweden.HC.9	definite_no	False	5.0	1_4	UBERON:feces	UBERON:feces	UBERON:feces	French_Bulldog_	Toy/Companion	GAZ:Sweden		0	IBD1_Sweden_HC 9_F9_R.K.1.20.12	False	healthy	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			F		Canis lupus familiaris	9615	indoor	60.13	18.64	21_25	5_13	1_5				False		lamb	False	stool		female	small		749906	Suchodolski_dog_ibd	11.0		2.0	11.0
Sweden.IBD.060A	6.5	3.0	years	0	Sweden.IBD.060A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Golden_Retriever	Sporting	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_060A_G8_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	36_50	40_61		small	Canis lupus familiaris	9615		60.13	18.64	21_25		1_5	38_45	25_35	21_26	False		lamb	False	stool			medium		749906	Suchodolski_dog_ibd	30.0		3.0	30.0
Sweden.IBD.061A	6.7	3.0	years	0	Sweden.IBD.061A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Border_Terrier	Terrier	GAZ:Sweden		0	IBD1_Sweden_IBD_061A_G9_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			M	large	Canis lupus familiaris	9615		60.13	18.64							False			False	stool		male	small		749906	Suchodolski_dog_ibd	7.0		1.0	7.0
Sweden.IBD.062A	7.6	3.0	years	0	Sweden.IBD.062A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Bichon_Frise	Toy/Companion	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_062A_G10_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	20_35	62_85	F	large	Canis lupus familiaris	9615		60.13	18.64	26_35	14_20	1_5	38_45	25_35	21_26	False		chicken	False	stool		female	small		749906	Suchodolski_dog_ibd	5.0		1.0	5.0
Sweden.IBD.063A	4.4	2.0	years	0	Sweden.IBD.063A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Bullmastiff	Working	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_063A_G11_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	36_50	40_61	F	both	Canis lupus familiaris	9615		60.13	18.64	14_20	14_20	1_5	46_55	25_35	15_20	False		fish	False	stool		female	large		749906	Suchodolski_dog_ibd	54.0		5.0	54.0
Sweden.IBD.064A	7.5	3.0	years	0	Sweden.IBD.064A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Drever	Hound	GAZ:Sweden		0	IBD1_Sweden_IBD_064A_G12_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces				small	Canis lupus familiaris	9615		60.13	18.64							False			False	stool			medium		749906	Suchodolski_dog_ibd	30.0		3.0	30.0
Sweden.IBD.065A	3.2	2.0	years	0	Sweden.IBD.065A	maybe_yes	False			UBERON:feces	UBERON:feces	UBERON:feces	Labrador_Retriever	Sporting	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_065A_H7_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	36_50	40_61	M	large	Canis lupus familiaris	9615		60.13	18.64	14_20	14_20	1_5	46_55	25_35	15_20	False		fish	False	stool		male	large		749906	Suchodolski_dog_ibd	35.0		4.0	35.0
Sweden.IBD.066A	5.8	2.0	years	0	Sweden.IBD.066A	maybe_yes	False			UBERON:feces	UBERON:feces	UBERON:feces	Mixed_Breed	Mixed	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_066A_H8_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	36_50	40_61	M	large	Canis lupus familiaris	9615		60.13	18.64	14_20	14_20	1_5	46_55	25_35	15_20	False		fish	False	stool		male			749906	Suchodolski_dog_ibd				
Sweden.IBD.067A	3.8	2.0	years	0	Sweden.IBD.067A	maybe_yes	False			UBERON:feces	UBERON:feces	UBERON:feces	Vizsla	Sporting	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_067A_H9_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	36_50	62_85	M	large	Canis lupus familiaris	9615		60.13	18.64	21_25	5_13	1_5	38_45	25_35	21_26	False		fish	False	stool		male	medium		749906	Suchodolski_dog_ibd	25.0		3.0	25.0
Sweden.IBD.097A	3.5	2.0	years	0	Sweden.IBD.097A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Shetland_Sheepdog	Working	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_097A_H1_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	36_50	62_85	M	both	Canis lupus familiaris	9615		60.13	18.64	26_35	14_20	1_5	38_45	15_24	27_38	False	FOS 0.4%	chicken	False	stool		male	small		749906	Suchodolski_dog_ibd	8.0		1.0	8.0
Sweden.IBD.098A	0.8	1.0	years	0	Sweden.IBD.098A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Boxer	Working	GAZ:Sweden		0	IBD1_Sweden_IBD_098A_H2_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			M	large	Canis lupus familiaris	9615		60.13	18.64							False			False	stool		male	medium		749906	Suchodolski_dog_ibd	30.0		3.0	30.0
Sweden.IBD.099A	6.1	3.0	years	0	Sweden.IBD.099A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Papillon	Toy/Companion	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_099A_H3_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	36_50	40_61	MC	both	Canis lupus familiaris	9615		60.13	18.64	14_20	14_20	1_5	46_55	25_35	15_20	False		chicken	False	stool		male	small		749906	Suchodolski_dog_ibd	3.0		1.0	3.0
Sweden.IBD.100A	2.2	1.0	years	0	Sweden.IBD.100A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Miniature_Poodle	Toy/Companion	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_100A_H4_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	20_35	62_85	M	large	Canis lupus familiaris	9615		60.13	18.64	26_35	14_20	1_5	38_45	25_35	21_26	False		chicken	False	stool		male	small		749906	Suchodolski_dog_ibd	7.0		1.0	7.0
Sweden.IBD.101A	2.0	1.0	years	0	Sweden.IBD.101A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Rottweiler	Working	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_101A_H5_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	20_35	62_85	FS	both	Canis lupus familiaris	9615		60.13	18.64	26_35	14_20	1_5	38_45	25_35	21_26	False		chicken	False	stool		female	large		749906	Suchodolski_dog_ibd	54.0		5.0	54.0
Sweden.IBD.102A	3.9	2.0	years	0	Sweden.IBD.102A	definite_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Great_Dane	Working	GAZ:Sweden		0	IBD1_Sweden_IBD_102A_H6_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			M	both	Canis lupus familiaris	9615		60.13	18.64							False			False	stool		male	large		749906	Suchodolski_dog_ibd	54.0		5.0	54.0
Sweden.IBD.103A	7.0	3.0	years	0	Sweden.IBD.103A	maybe_yes	False			UBERON:feces	UBERON:feces	UBERON:feces	Weimaraner	Sporting	GAZ:Sweden	1_10	0	IBD1_Sweden_IBD_103A_H10_R.K.1.20.12		IBD	True	13.02	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces	36_50	40_61	F	both	Canis lupus familiaris	9615		60.13	18.64	14_20	14_20	1_5	38_45	25_35	15_20	False		hydrolyzed	False	stool		female	large		749906	Suchodolski_dog_ibd	34.0		4.0	34.0
