Eigvals	628
36.1686141738	19.66082431	7.88810250042	6.89201810425	3.80793351632	3.43460835046	2.81557092357	2.30907369873	1.93668269354	1.83118393582	1.63411700658	1.53836547617	1.33735541151	1.24509188345	1.18424335519	1.17141963626	1.04659668073	0.980219959771	0.963803710252	0.929717537279	0.865740481172	0.82342714874	0.759386925021	0.693396438306	0.672646762008	0.651197797052	0.584727126634	0.550576182446	0.528134253611	0.510070166739	0.487599344842	0.445088979747	0.434552387788	0.424739497733	0.410985138543	0.389776586076	0.379668399039	0.366838681584	0.346992923675	0.339747027665	0.334011026024	0.330670512645	0.304247018263	0.301093287325	0.292026855988	0.280918475087	0.273065039212	0.260172665682	0.250794761078	0.240054101635	0.227146500241	0.224162764044	0.220109298581	0.21606462806	0.210695130706	0.204551847595	0.197332398868	0.194588402455	0.189663827315	0.183567837004	0.182533032059	0.17663692783	0.171568025655	0.168901733794	0.163064190796	0.158484013365	0.156756227595	0.153208979226	0.151910470125	0.15080534523	0.144853162422	0.141786259055	0.135862411193	0.134144931851	0.132981363455	0.129924177394	0.126076275475	0.122174033835	0.116915026606	0.115561538397	0.112220378982	0.111023040107	0.109176672787	0.107400263088	0.105217926666	0.104166318692	0.101797335384	0.098455880903	0.0959506754387	0.0940015093698	0.0937014549698	0.0932746741914	0.0893359592028	0.0874738135506	0.0869051859697	0.0843274642413	0.0815833292176	0.080426031833	0.0798569704535	0.0787740786365	0.0766089302916	0.0753247292916	0.0741976658554	0.0734040620611	0.0719632540823	0.0715187481738	0.0687421979271	0.0670408653502	0.0666181105791	0.0655177344573	0.0644364788998	0.0632515269723	0.0625474266016	0.0619954284519	0.0599027546976	0.0575837789292	0.0572168096137	0.0564502945139	0.0557579034723	0.0536358011223	0.0529708325879	0.0512618939852	0.050551064258	0.0486029392488	0.0479728555954	0.0470708608333	0.0466448029733	0.0456752664632	0.0454242730638	0.0450780864102	0.0439810372718	0.043363491553	0.0424201190336	0.0415653259605	0.0404971075634	0.0399143279442	0.0394145120971	0.0371027381379	0.0369008353349	0.0365177855851	0.0362494662766	0.0360289716691	0.0348555894927	0.0342674049316	0.0339607277577	0.0336909464743	0.0320513445033	0.0316931480794	0.0313482097549	0.0312797160622	0.0308988153746	0.030285034677	0.0293024241303	0.0286981096062	0.027473151043	0.0271635205994	0.0267353332966	0.0261042582256	0.0256315933366	0.0251057185874	0.024425364003	0.0238532025359	0.0234851284332	0.0231438660895	0.0226221237442	0.0220194783166	0.0216304780498	0.0214537480558	0.0205976906274	0.0200323934944	0.0200228650156	0.0191852669421	0.0191080362043	0.0188031374136	0.0177920410727	0.0177005219246	0.0170329315912	0.016839742618	0.0163953328411	0.0160978209449	0.0158351904576	0.0156361699575	0.0151048198896	0.0145367540173	0.0140429368984	0.0137919634791	0.0134092563973	0.0127094591241	0.01239680474	0.0119033584641	0.0116389886763	0.0114561044361	0.0111698115355	0.0109722183033	0.0107320997655	0.0105496018264	0.0103529218272	0.00968273495572	0.00922467294596	0.00884822883194	0.00851145083261	0.00837752072074	0.00795482157683	0.00768189964537	0.00731404216983	0.00708909275963	0.00676057634365	0.00651236556303	0.00613446013214	0.00593632419859	0.00548014996359	0.00525171277771	0.00504334388116	0.00460266826121	0.00452727732748	0.00424267977177	0.00415005847064	0.00403722106016	0.00353296227098	0.00317672412648	0.00289178146332	0.00274163046826	0.00261297700876	0.00239881134469	0.00199225432667	0.00183529538856	0.00163254593368	0.00157502910488	0.00136163599583	0.00121875596088	0.00107775584596	0.000745712002819	0.000651768794493	0.000411911958641	0.000229262462944	0.000206988828144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Proportion explained	628
0.294555251798	0.160116697515	0.0642402832206	0.0561282253818	0.0310116060942	0.0279712659887	0.0229298584227	0.0188049722193	0.0157722398682	0.0149130636499	0.0133081611595	0.0125283658372	0.0108913506636	0.010139961445	0.00964441429804	0.00953997861963	0.00852342717205	0.00798285872056	0.00784916566593	0.00757156970346	0.0070505439937	0.00670594648634	0.00618440634294	0.00564698336242	0.00547799911278	0.00530331989386	0.00476198632304	0.00448386286727	0.00430109700383	0.00415398405028	0.00397098288329	0.0036247807525	0.00353897131334	0.00345905566362	0.00334704090091	0.00317431958838	0.00309199905591	0.00298751452583	0.00282589173901	0.00276688155097	0.00272016786159	0.0026929629	0.00247777138053	0.00245208756511	0.00237825103511	0.00228778497751	0.00222382701742	0.00211883221963	0.00204245906808	0.00195498771428	0.00184986890158	0.00182556951421	0.00179255830912	0.00175961872957	0.00171588983143	0.00166585926363	0.00160706446084	0.00158471750139	0.00154461202587	0.00149496660809	0.00148653921218	0.00143852165593	0.00139724078879	0.00137552665103	0.0013279860143	0.00129068529523	0.00127661430069	0.00124772570043	0.00123715071204	0.00122815063423	0.00117967637704	0.00115469968069	0.00110645618178	0.00109246912224	0.0010829930837	0.00105809552456	0.00102675841794	0.000994978771555	0.000952149699058	0.000941126963761	0.000913916740882	0.000904165677374	0.000889128961062	0.000874661975853	0.000856889145209	0.000848324906331	0.000829032033476	0.000801819407596	0.000781417148808	0.000765543245002	0.00076309961808	0.000759623938335	0.000727547254953	0.000712382040748	0.000707751168261	0.000686758340912	0.000664410252623	0.000654985284862	0.000650350879543	0.00064153186673	0.000623899014864	0.000613440550874	0.000604261806766	0.000597798740076	0.00058606487726	0.000582444845008	0.000559832768883	0.000545977207728	0.000542534315572	0.000533572911519	0.000524767224316	0.000515117039442	0.000509382883829	0.000504887440537	0.000487844817846	0.000468959203703	0.000465970625301	0.000459728167486	0.00045408937202	0.000436807084426	0.000431391616386	0.000417474112165	0.000411685153034	0.000395819727562	0.00039068836012	0.000383342563209	0.000379872770874	0.000371976917594	0.000369932840826	0.000367113515307	0.000358179206029	0.000353149946854	0.000345467171709	0.000338505782819	0.000329806269549	0.000325060143623	0.0003209896702	0.000302162707205	0.000300518421618	0.000297398885024	0.000295213706982	0.000293418010738	0.000283862049296	0.000279071905813	0.000276574343376	0.000274377259089	0.000261024428674	0.00025810729623	0.000255298137037	0.000254740328081	0.000251638293334	0.000246639696289	0.000238637368757	0.00023371586372	0.000223739866954	0.000221218253247	0.000217731118843	0.00021259167735	0.000208742319874	0.000204459624152	0.000198918852948	0.000194259200681	0.000191261624952	0.000188482402749	0.000184233361103	0.000179325449099	0.000176157451813	0.000174718172232	0.000167746486499	0.000163142737001	0.000163065137582	0.000156243783845	0.000155614820863	0.000153131741483	0.000144897427172	0.000144152100144	0.000138715280314	0.00013714195969	0.000133522710329	0.00013109978942	0.000128960940834	0.000127340128567	0.000123012842145	0.000118386544182	0.000114364924081	0.00011232101003	0.000109204264104	0.000103505152686	0.00010095891217	9.69403121943e-05	9.47872988375e-05	9.32978994052e-05	9.09663453948e-05	8.93571567212e-05	8.74016442419e-05	8.59153908253e-05	8.43136394726e-05	7.88556735758e-05	7.51252411634e-05	7.20595005116e-05	6.93167985679e-05	6.82260789281e-05	6.47836397965e-05	6.25609782409e-05	5.95651667118e-05	5.77331907935e-05	5.50577707411e-05	5.30363554711e-05	4.99587139332e-05	4.8345105529e-05	4.4630047053e-05	4.27696668768e-05	4.10727217715e-05	3.74838831842e-05	3.68699034679e-05	3.45521562553e-05	3.37978533521e-05	3.28789115399e-05	2.87722550364e-05	2.58710707154e-05	2.35505129663e-05	2.23276913248e-05	2.12799444585e-05	1.95357907897e-05	1.62248122645e-05	1.49465471003e-05	1.32953664262e-05	1.28269524608e-05	1.10890904385e-05	9.92548310567e-06	8.77718574064e-06	6.07303851079e-06	5.30797006636e-06	3.35458887402e-06	1.86710118823e-06	1.68570590237e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Species	0	0

Site	628	628
California.HC21	-0.17816524071	0.049857924152	-0.121718672017	0.0813355566371	-0.0354469166914	0.0348400004641	-0.0381731960681	-0.0631302111615	0.0198008038386	-0.0549219221409	0.0736615228838	-0.0366603549223	0.0124353859285	-0.0273915562271	0.0664789925642	-0.0185601453762	0.0175608216982	-0.0205208743602	-0.0388796510764	0.0531565107842	0.000558007673307	-0.0170245945409	0.0190346790631	-0.00266738392005	0.0185386572253	-0.00574759563207	0.00626751292796	-0.0742377421846	0.0152332389816	-0.0162565404981	0.0123729207213	-0.024461838251	0.0568402184695	-0.060914411751	0.011113766706	-0.0321905752103	0.0185893762542	0.0327641757662	-0.0217883244124	-0.00933493714052	0.0273583947508	0.0068482911096	-8.95065874112e-06	-0.0130871613461	-0.00232269737232	0.0441207321056	0.0240240929295	-0.0427342508955	-0.0147516755005	0.0073867187157	-0.0214005272766	0.00235612564535	-0.035412407047	0.0223523851592	-0.0233771237044	0.00236389249528	-0.000143744003134	0.00658733966419	-0.0050644138857	0.0421099102071	-0.00551012202499	0.0173042160626	-0.0164267025789	0.00242120073087	-0.0141125718747	0.0299111668209	-0.00733961392052	0.0151044990421	-0.0231141845617	-0.00599391595581	0.0301185691172	-0.0116954485792	0.00342078983767	0.00736257882542	-0.00829291834048	-0.0037042363119	0.0147416478508	0.036283086812	-0.0129074164827	0.0150706967342	0.00914537240387	0.0127381059723	-0.0318106307334	-0.0121533330609	0.00695335891827	0.0111191388915	0.00397217106503	-0.0122951170006	-0.00399761033923	0.0210703450543	0.0143263718685	0.012467155052	0.01594059293	-0.00720298745049	-0.00375019273742	-0.0136066376739	0.00226897074007	0.00410525902633	0.0127129883195	0.000497470838223	0.0322972395395	-0.0330905258182	-0.00425086993459	-0.0240372443928	0.00840091354033	0.022856010734	0.022340690807	0.00381059971402	-0.0132640062689	-0.0134526838747	-0.0100266922261	-0.0151295067172	-0.00368216568977	0.0109326385008	0.00407634693698	0.00443815735611	-0.00663736474416	0.00438388260147	-0.0102318747626	0.00664256363007	-0.00497589793479	0.00865643857852	-0.0011429770455	0.00442968671293	-0.00347213193318	0.00257275109295	-0.00298057048413	0.00595620314882	-0.011098819159	0.00284967258363	-0.00937899677416	0.00905671913778	-0.00101050290371	0.00837106729358	-0.00251778002546	0.00759931212489	-0.00324947036738	0.00701013044736	-0.00411530989608	-0.0012230496309	-0.00303351634844	0.00802932668879	-0.00682117319828	0.016360499822	0.00120353172178	-0.00487329948205	0.00191682238284	0.00177113831443	-0.00263672036244	-0.00115922155472	-0.000804654347277	0.0124270877013	0.000367119166347	-0.00021129979719	-0.00164713397556	0.00323556831071	0.00292601345197	-0.0114126410314	-0.00978959706602	0.00345640720228	0.000751450341568	-0.00866021135002	-0.00791064777931	0.0130947349396	0.00240551036412	0.016462956634	-0.00346828511225	-0.00680100406519	0.00479633494014	-0.0127728922563	-0.00397231217063	-0.000766495170513	-0.00102289847917	-0.000374397465687	0.000386905150756	0.00667537514909	-0.008474079035	-0.00332405936963	-0.000768613013688	-0.000943146367694	-0.00436491757996	0.00600555734186	0.00351186877255	-0.00764063996847	-0.00430670567708	-0.000545456467809	0.00784006192632	0.00317093808222	0.00357735318888	-0.00136219148851	-0.00364191606265	-0.00576421549663	-0.0106101464895	0.00725877087382	0.00103941815637	0.00145935379599	0.000137410100458	0.00255386746071	-0.00528764280681	-0.00189156084216	0.000160819139634	0.00144399220472	0.00692059488877	0.0028973067438	-0.00396238331477	-0.00119046095366	-0.0026667324968	-0.00559755473781	-0.000704423310572	0.00952799370929	0.00295532053932	0.00563360345423	-0.00585750048532	-0.00542460141102	-0.00294791931218	-0.00228703491189	-0.00347279572811	0.00086091315887	0.00315209432334	0.000819643081018	0.00183486535013	-0.000232100169826	-0.00118609396022	-0.00181123957428	-0.000170328357873	-0.000317205879757	-0.00129977241622	-0.00172160554247	0.00037071856029	0.000201076925795	0.000404120576234	0.000261798133105	0.00026756666254	0.000788921590522	0.000211956308607	8.24358662311e-05	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
